model,layer,unit,weighted_mean_sim,diversity_score,n_eff,sum_weights,max_auc,n_desc_auc_ge_05,has_reliable_desc,median_sim_unweighted,min_sim_unweighted,range_gap_unweighted,n_valid_pairs,redundancy_fraction_unweighted,unweighted_similarity_zscore,baseline_percentile,baseline_mean,baseline_std,exp_confidence_adjusted_diversity,unweighted_mean_sim,unweighted_diversity
Llama-3.1-8B-Instruct,20,10765,0.30117371488155814,0.6988262851184419,3.9143740470652206,1.2875170470078108,0.5034000000000001,1,False,0.28873432882161376,0.1777184307575225,0.11101589806409126,10,0.0,-1.769854052070093,3.8,0.38443857045846686,0.0430277552910385,0.5470934947749259,0.308285723405142,0.6917142765948581
Llama-3.1-8B-Instruct,20,11587,0.40654070250887747,0.5934592974911226,4.439229021517007,3.1803154543841647,0.8655999999999999,3,True,0.3931311613702543,0.2826483845710754,0.1104827767991789,10,0.0,0.6040534128941414,72.8,0.38443857045846686,0.0430277552910385,0.5269003473023374,0.4104296328911926,0.5895703671088074
Llama-3.1-8B-Instruct,20,11626,0.3902314403762625,0.6097685596237374,4.9637140683922105,4.150945701796804,0.7634000000000001,5,True,0.38580426573753357,0.2736800582790324,0.11212420745850116,10,0.0,0.20694756488356492,57.9,0.38443857045846686,0.0430277552910385,0.6053433555735199,0.3933430596383532,0.6066569403616469
Llama-3.1-8B-Instruct,20,12784,0.4022599177931381,0.5977400822068619,4.890130966205442,4.3359823683639185,0.8799,5,True,0.4205655814360437,0.2680086573364931,0.15255692409955063,10,0.0,0.49870746665650223,70.19999999999999,0.38443857045846686,0.0430277552910385,0.5846054571483924,0.4058968332955766,0.5941031667044234
Llama-3.1-8B-Instruct,30,46,0.41427044587987716,0.5857295541201228,4.981854448354791,0.038670387283724204,0.0227,0,False,0.37857634552858266,0.3057711720466614,0.07280517348192128,10,0.0,0.59517352482285,72.8,0.38443857045846686,0.0430277552910385,0.5836038769452405,0.4100475512402493,0.5899524487597507
Llama-3.1-8B-Instruct,30,129,0.41909069301766694,0.580909306982333,4.6963997195578955,2.864929577669377,0.613,3,True,0.3816659392150073,0.3229725956916809,0.05869334352332639,10,0.0,0.8641319452454902,80.2,0.38443857045846686,0.0430277552910385,0.54563646128008,0.4216202283376589,0.5783797716623411
Llama-3.1-8B-Instruct,30,557,0.34510475315206424,0.6548952468479358,4.474010174812673,3.9302886388233933,0.8777999999999999,4,True,0.3612067039550608,0.2039476809532836,0.15725902300177722,10,0.0,-0.7386031093587615,22.8,0.38443857045846686,0.0430277552910385,0.5860015995668243,0.3526581366117779,0.6473418633882221
Llama-3.1-8B-Instruct,30,715,0.411956752783441,0.588043247216559,4.703356399186487,3.5608632559550997,0.7486999999999999,4,True,0.40044863237034806,0.3574894475188688,0.04295918485147926,10,0.0,0.6949447333044325,75.7,0.38443857045846686,0.0430277552910385,0.5531553939588808,0.414340482383886,0.585659517616114
Llama-3.1-8B-Instruct,30,738,0.3099225789075863,0.6900774210924137,4.15405023181404,0.0625635164439355,0.121,0,False,0.3184427836968091,0.1983326735099957,0.12011011018681342,10,0.0,-1.6913926966481323,4.6,0.38443857045846686,0.0430277552910385,0.5733232542117151,0.3116617394060413,0.6883382605939588
Llama-3.1-8B-Instruct,30,1721,0.40215709919189485,0.5978429008081052,3.802291694206045,2.901236299376147,0.8732,2,True,0.4065299092621599,0.2016009866237056,0.20492892263845433,10,0.0,0.576773475146869,72.39999999999999,0.38443857045846686,0.0430277552910385,0.45463461923654136,0.4092558384054482,0.5907441615945518
Llama-3.1-8B-Instruct,30,1911,0.4013338373076629,0.5986661626923371,4.557639770615108,3.068551525439998,0.8068000000000001,4,True,0.3937196347880588,0.3083257675170898,0.08539386727096904,10,0.0,0.49270556738788907,69.89999999999999,0.38443857045846686,0.0430277552910385,0.545700942481626,0.4056385850425652,0.5943614149574348
Llama-3.1-8B-Instruct,30,2324,0.353878656123044,0.646121343876956,4.900560586873654,0.04044166001616907,0.0425,0,False,0.36635801747041996,0.2114405505990657,0.15491746687135427,10,0.0,-0.6986870397925736,23.799999999999997,0.38443857045846686,0.0430277552910385,0.6332713584282499,0.3543756354852519,0.6456243645147481
Llama-3.1-8B-Instruct,30,2589,0.5018931031502388,0.49810689684976117,4.311078103909308,0.04753930600886881,0.0945,0,False,0.4022889493531623,0.3271136581897735,0.07517529116338878,10,0.0,2.0964472875116273,97.8,0.38443857045846686,0.0430277552910385,0.42947554728304355,0.4746439913260786,0.5253560086739214
Llama-3.1-8B-Instruct,30,3461,0.29430552206919186,0.7056944779308081,2.478328785850723,0.8427203001982575,0.4775,0,False,0.332207749354378,0.2600997972369454,0.07210795211743265,10,0.0,-1.1660915627274586,12.4,0.38443857045846686,0.0430277552910385,0.3497885877343639,0.3342642680504851,0.665735731949515
Llama-3.1-8B-Instruct,30,3828,0.36837392604156355,0.6316260739584365,3.918999213555595,0.6058272321184245,0.3615,0,False,0.36938183535877145,0.2598175847639097,0.10956425059486175,10,0.0,-0.17815791419310217,42.5,0.38443857045846686,0.0430277552910385,0.49506841742086416,0.3767728353234042,0.6232271646765958
Llama-3.1-8B-Instruct,30,4971,0.3511654649674568,0.6488345350325432,4.052971380807795,2.9810838719001116,0.8389,3,True,0.336378624574335,0.2439119219779968,0.09246670259633819,10,0.0,-0.8627889545848381,19.1,0.38443857045846686,0.0430277552910385,0.5259415602733261,0.3473146984527795,0.6526853015472205
Llama-3.1-8B-Instruct,30,5245,0.34327858651597776,0.6567214134840222,4.997715347117547,4.860587207231661,0.937,5,True,0.3071110902668285,0.2340797642421866,0.07303132602464188,10,0.0,-0.9738801064682565,17.0,0.38443857045846686,0.0430277552910385,0.6564213373899652,0.3425346955545402,0.6574653044454598
Llama-3.1-8B-Instruct,30,6472,0.4039608993770544,0.5960391006229455,4.998800148243652,4.880923554707521,0.9944,5,True,0.37393660326424555,0.3199093735191041,0.05402722974514146,10,0.0,0.43019997178782415,68.0,0.38443857045846686,0.0430277552910385,0.5958960689105987,0.402949109570765,0.597050890429235
Llama-3.1-8B-Instruct,30,6892,0.3537819878301047,0.6462180121698953,2.0720900029015272,1.2565660002970878,0.6063000000000001,1,True,0.3403438467809254,0.2518404274081933,0.0885034193727321,10,0.0,-1.0217426394519658,15.9,0.38443857045846686,0.0430277552910385,0.2678043765424275,0.3404752781977079,0.6595247218022922
Llama-3.1-8B-Instruct,30,9947,0.3645973215869998,0.6354026784130002,4.147609809147527,1.9343418783320354,0.5525,1,True,0.3694609443682434,0.3171366344175722,0.052324309950671166,10,0.0,-0.14918222586964788,43.3,0.38443857045846686,0.0430277552910385,0.5270804763488742,0.3780195941499752,0.6219804058500248
Llama-3.1-8B-Instruct,30,10713,0.3727413133335351,0.6272586866664649,3.609952358019582,2.4490486960700735,0.7194,3,True,0.3285901499634898,0.2405425619432273,0.0880475880202625,10,0.0,-0.9164464238266573,17.8,0.38443857045846686,0.0430277552910385,0.4528747950039742,0.3450059379967061,0.6549940620032939
Llama-3.1-8B-Instruct,30,12035,0.3074336849942651,0.6925663150057348,4.812417926295296,4.1596856334007235,0.9273,5,True,0.32409810578238385,0.1731453239917755,0.15095278179060834,10,0.0,-1.8128386051465042,3.3000000000000003,0.38443857045846686,0.0430277552910385,0.6665837098963747,0.3064361945740755,0.6935638054259246
Llama-3.1-8B-Instruct,30,14030,0.36686110320481913,0.6331388967951809,2.322296392459903,0.23319958620932527,0.3226,0,False,0.33685138788842384,0.2038443088531494,0.13300707903527445,10,0.0,-0.7765715777658082,22.1,0.38443857045846686,0.0430277552910385,0.2940672351906983,0.351024438644384,0.6489755613556161
Llama-3.1-8B-Instruct,30,14157,0.4081264344875099,0.59187356551249,4.890218428228063,4.326200036449188,0.8609,5,True,0.3895006540859851,0.2352679292937497,0.1542327247922354,10,0.0,0.26620355543314,60.8,0.38443857045846686,0.0430277552910385,0.5788782034500457,0.3958927118992484,0.6041072881007516
gemma-scope-2b,0,31,0.4599997896238136,0.5400002103761864,3.0703898811489894,0.29607134493717807,0.3289499999999999,0,False,0.5275166611045158,0.3518284559249878,0.175688205179528,10,0.0,3.814601438603544,100.0,0.36107379564683795,0.04346639411261741,0.3316022363514736,0.5268807651597369,0.4731192348402631
gemma-scope-2b,0,2536,0.5268411392382888,0.4731588607617112,4.316616810181971,0.3737091381641125,0.29005,0,False,0.5287655276795917,0.4060869030848886,0.12267862459470313,10,0.0,3.6289454629636912,100.0,0.36107379564683795,0.04346639411261741,0.40848909845011067,0.5188109693532126,0.4811890306467874
gemma-scope-2b,0,2696,0.4858214076504456,0.5141785923495543,4.999999991746431,0.5503628718125149,0.291,0,False,0.47516128420829773,0.3855818510055542,0.08957943320274353,10,0.0,2.869978394812281,99.7,0.36107379564683795,0.04346639411261741,0.5141785915007926,0.4858214076504456,0.5141785923495543
gemma-scope-2b,0,2725,0.4009915377196208,0.5990084622803792,4.2380740821717975,2.1012205363130874,0.5859,2,True,0.5344601252996857,0.2208322189750315,0.3136279063246542,10,0.1,2.7557332364696068,99.6,0.36107379564683795,0.04346639411261741,0.5077284477984115,0.4808555825724646,0.5191444174275355
gemma-scope-2b,0,2818,0.410273012873236,0.5897269871267641,3.642992612552866,0.8369843813469438,0.4431999999999999,0,False,0.41827412491332516,0.3280254015877177,0.09024872332560746,10,0.0,1.7852278886318333,95.5,0.36107379564683795,0.04346639411261741,0.42967421150517215,0.4386712146349451,0.5613287853650549
gemma-scope-2b,0,3681,0.501686897348644,0.498313102651356,4.978619002838842,0.044134543128129554,0.0377,0,False,0.5381573438644409,0.2429518550634384,0.2952054888010025,10,0.0,3.1063572686608407,99.8,0.36107379564683795,0.04346639411261741,0.4961822164447247,0.4960959449410438,0.5039040550589562
gemma-scope-2b,0,3740,0.4152980163125666,0.5847019836874334,4.722498794056368,0.8677571102174089,0.3942,0,False,0.4063778552701747,0.3163495769292374,0.09002827834093735,10,0.0,1.0827930355748001,85.1,0.36107379564683795,0.04346639411261741,0.552250882569254,0.4081389044735296,0.5918610955264705
