model,mean_similarity,min_similarity,max_similarity,std_similarity
gpt2-xl,0.39592837052665425,0.2612471878528595,0.6319607338952188,0.1259112348986784
gpt2-xl,0.37759515047073366,0.267313152551651,0.4580570161342621,0.06106141438341814
gpt2-xl,0.391913977265358,0.2599008083343506,0.5653915405273438,0.08276293295448392
gpt2-xl,0.3944794981596312,0.3140873312950134,0.49342966079711914,0.05349674402439318
gpt2-xl,0.43764660397871846,0.24016703782474713,0.6088001961231125,0.11783959870688596
gpt2-xl,0.37417261174755473,0.27385711669921875,0.5032665879507838,0.06054051947773623
gpt2-xl,0.3784954273811397,0.28468286991119385,0.46801885962486267,0.044230883113169556
gpt2-xl,0.42278247771356875,0.31544564274277487,0.6648922762338962,0.10580621491362828
gpt2-xl,0.39893764284944955,0.3232229448325321,0.49338164925575256,0.05341498587181751
gpt2-xl,0.3678812361955234,0.2647782704366288,0.5302657168945252,0.08189963566747532
gpt2-xl,0.3605982461436084,0.23649917462463266,0.572224216825492,0.11093120350766031
gpt2-xl,0.3191498595434673,0.2604996406734208,0.38455730676651,0.040386593073229976
gpt2-xl,0.3159560714752703,0.23051908612251282,0.382717490196228,0.04992900472546579
gpt2-xl,0.29577907924330393,0.1588593626702215,0.4202165102700608,0.07817166972659798
gpt2-xl,0.3193239683057263,0.2115237586782126,0.6192184686660767,0.10993306920456528
gpt2-xl,0.3358037882344831,0.2788822318455917,0.39822880040235586,0.04565902828779342
gpt2-xl,0.34734847984563155,0.2892967760562897,0.4187799096107483,0.04652993283995068
gpt2-xl,0.3446609596390504,0.24910719698028627,0.4537405426811557,0.07383200192767456
gpt2-xl,0.4077048249907933,0.33270442485809326,0.7173473407419133,0.11026325207793408
gpt2-xl,0.41711477339267733,0.2773880660533905,0.5253839492797852,0.07125676012607364
gpt2-xl,0.3814042832495605,0.23455521556405967,0.4823282680120182,0.07830274289904864
gpt2-xl,0.3459596360938756,0.20309552550315857,0.4087566259132812,0.0533580263936416
gpt2-xl,0.34361321042305193,0.22726476192474365,0.46871403046166793,0.07114173968092631
gpt2-xl,0.36122925324533683,0.24937740711502465,0.48728042765143176,0.09421242506010019
gpt2-xl,0.3950105657652063,0.3249071449152081,0.49657702445983887,0.06377096378386417
gpt2-xl,0.39339471501793827,0.2735704481601715,0.5405631613060082,0.08269526191450442
gpt2-xl,0.3783543089571302,0.2919079487378633,0.5037683248519897,0.0643912770054109
gpt2-xl,0.3698067298876291,0.2597765028476715,0.5290866774864994,0.07357139351497412
gpt2-xl,0.447303755038947,0.2918171286582947,0.6753264859124144,0.11025253853283849
gpt2-xl,0.34833048577013553,0.2585539221763611,0.48608119744304434,0.061548292591444426
gpt2-xl,0.4204913845526478,0.33981146337849577,0.5056835707614686,0.05211789433042252
gpt2-xl,0.41416267241429106,0.34203756797089824,0.6815322827379547,0.0999966947686251
gpt2-xl,0.36299354452540583,0.2659383555687459,0.46616169810295105,0.05870280951773105
gpt2-xl,0.4541563889449597,0.23143122979588726,0.7165823151718202,0.17165323510884106
gpt2-xl,0.3827272891998291,0.2656259536743164,0.5528138875961304,0.0715811211397255
gpt2-xl,0.3375560931201241,0.20136404037475586,0.4816339026907749,0.0788713711731005
